Date,Open,High,Low,Close,Volume
02/01/2013,12.8,12.9,12.66,12.87,65425580
03/01/2013,12.86,13.04,12.82,12.92,55032220
04/01/2013,12.88,12.99,12.83,12.96,37518000
07/01/2013,13.15,13.49,13.13,13.42,98247200
08/01/2013,13.35,13.45,13.18,13.32,60247120
09/01/2013,13.41,13.47,13.27,13.32,45319820
10/01/2013,13.43,13.44,13.12,13.27,57321860
11/01/2013,13.26,13.42,13.21,13.4,48267280
14/01/2013,13.4,13.71,13.38,13.64,85494920
15/01/2013,13.53,13.64,13.46,13.6,46543080
16/01/2013,13.53,13.56,13.39,13.45,41321840
17/01/2013,13.57,13.6,13.46,13.52,37697660
18/01/2013,13.54,13.72,13.48,13.61,58894840
22/01/2013,13.58,13.61,13.46,13.51,42789240
23/01/2013,13.53,13.55,13.33,13.41,50270140
24/01/2013,13.47,13.83,13.47,13.68,68338176
25/01/2013,13.75,14.24,13.72,14.2,99498896
28/01/2013,14.19,14.22,13.72,13.8,86451136
29/01/2013,13.77,13.77,12.92,13.02,203451040
30/01/2013,14.15,14.21,13.36,13.64,261636096
31/01/2013,13.55,13.8,13.18,13.28,135519536
01/02/2013,13.45,13.45,13.14,13.25,122362920
04/02/2013,13.14,13.23,12.95,13,74475856
05/02/2013,13.1,13.4,13.07,13.34,80275600
06/02/2013,13.26,13.34,13.06,13.11,55444080
07/02/2013,13.21,13.21,12.76,13.01,79541296
08/02/2013,13.07,13.26,13.03,13.1,77592560
11/02/2013,13.16,13.16,12.83,12.86,68149136
12/02/2013,12.96,13.01,12.85,12.94,58894600
13/02/2013,13.08,13.5,13.02,13.47,105915720
14/02/2013,13.37,13.53,13.27,13.46,69281600
15/02/2013,13.38,13.45,13.16,13.25,79624656
19/02/2013,13.3,13.51,13.22,13.49,57128200
20/02/2013,13.51,13.71,13.32,13.32,70613120
21/02/2013,13.26,13.47,13.16,13.3,72775904
22/02/2013,13.33,13.36,13.08,13.27,62504040
25/02/2013,13.35,13.43,12.98,12.99,60654180
26/02/2013,13.04,13.1,12.79,12.97,66975200
27/02/2013,12.97,13.29,12.84,13.16,58168200
