Date,Open,High,Low,Close,Volume
2014-03-28,27.98,28.24,27.86,27.92,822312
2014-03-31,28.27,28.27,27.77,27.77,216032
2014-04-01,27.86,28.34,27.86,28.28,159076
2014-04-02,29.92,30.16,28.03,28.27,2941995
2014-04-03,28.41,29.28,28.13,28.41,102029960
2014-04-04,28.65,28.81,27.08,27.08,127903360
2014-04-07,26.96,27.35,26.29,26.83,88032416
2014-04-08,27.06,27.67,27.01,27.67,63221220
2014-04-09,27.9,28.19,27.57,28.13,66677404
2014-04-10,28.17,28.17,26.92,26.97,80776024
2014-04-11,26.55,26.93,26.25,26.46,78538456
2014-04-14,26.84,27.13,26.41,26.55,51501412
2014-04-15,26.77,26.85,25.85,26.75,77160328
2014-04-16,27.08,27.77,26.93,27.75,97865736
2014-04-17,27.37,27.4,26.48,26.73,136280992
2014-04-21,26.73,26.76,26.21,26.36,51364916
2014-04-22,26.36,26.79,26.3,26.67,47317976
2014-04-23,26.62,26.62,26.24,26.27,41133944
2014-04-24,26.43,26.51,26.03,26.19,37742640
2014-04-25,26.05,26.16,25.7,25.74,42060440
2014-04-28,25.79,25.86,25.07,25.79,66711236
2014-04-29,25.77,26.4,25.75,26.31,53997624
2014-04-30,26.31,26.33,26.05,26.26,35034004
2014-05-01,26.28,26.57,26.12,26.49,38112992
2014-05-02,26.61,26.63,26.21,26.32,33793368
2014-05-05,26.17,26.37,25.99,26.32,20484246
2014-05-06,26.19,26.27,25.68,25.69,33780108
2014-05-07,25.72,25.76,25.1,25.43,64498136
2014-05-08,25.35,25.79,25.25,25.48,40433328
2014-05-09,25.47,25.92,25.14,25.87,48789244
2014-05-12,26.1,26.44,25.88,26.42,38272632
2014-05-13,26.47,26.73,26.4,26.58,33068682
2014-05-14,26.58,26.58,26.19,26.26,23902706
2014-05-15,26.21,26.22,25.8,25.93,34168712
2014-05-16,26.0,26.02,25.7,25.96,29715120
2014-05-19,25.91,26.42,25.81,26.37,25597326
2014-05-20,26.41,26.74,26.24,26.42,35700008
2014-05-21,26.57,26.89,26.52,26.87,23933310
2014-05-22,26.98,27.31,26.96,27.18,32325246
2014-05-23,27.29,27.61,27.11,27.56,38698596
2014-05-27,27.72,28.22,27.64,28.22,42121288
2014-05-28,28.15,28.31,27.97,28.01,33044816
2014-05-29,28.09,28.12,27.86,27.93,27087306
2014-05-30,27.96,27.99,27.72,27.92,35432896
2014-06-02,27.96,27.97,27.21,27.62,28778576
2014-06-03,27.47,27.54,27.05,27.17,37340660
2014-06-04,27.0,27.36,26.86,27.16,36341184
2014-06-05,27.25,27.67,27.15,27.62,33790236
2014-06-06,27.83,27.83,27.37,27.74,34746976
2014-06-09,27.78,28.07,27.73,28.03,29353890
2014-06-10,27.95,28.1,27.82,27.95,27062978
2014-06-11,27.82,27.92,27.68,27.87,22007858
2014-06-12,27.79,27.82,27.35,27.49,29222090
2014-06-13,27.54,27.54,27.2,27.51,24410356
2014-06-16,27.39,27.41,27.0,27.14,34174108
2014-06-17,27.14,27.19,26.89,27.08,28996954
2014-06-18,27.17,27.6,27.13,27.59,34842260
2014-06-19,27.64,27.67,27.35,27.67,49161424
2014-06-20,27.77,27.8,27.44,27.74,90186168
2014-06-23,27.68,28.17,27.64,28.17,30777448
2014-06-24,28.18,28.55,27.97,28.15,44156680
2014-06-25,28.19,28.92,28.18,28.85,39396808
2014-06-26,28.97,29.04,28.51,28.72,34839592
2014-06-27,28.78,28.91,28.61,28.78,44745996
2014-06-30,28.85,28.9,28.66,28.69,26290162
2014-07-01,28.84,29.14,28.75,29.05,29005598
2014-07-02,29.09,29.19,28.94,29.04,21156646
2014-07-03,29.09,29.17,28.97,29.16,14283308
2014-07-07,29.11,29.24,28.9,29.03,21294966
2014-07-08,28.8,28.9,28.23,28.48,38277744
2014-07-09,28.5,28.76,28.39,28.73,22339306
2014-07-10,28.22,28.75,28.17,28.48,27140652
2014-07-11,28.52,28.96,28.49,28.88,32440202
2014-07-14,29.05,29.18,28.82,29.16,37147508
2014-07-15,29.21,29.21,28.75,29.16,32465190
2014-07-16,29.32,29.34,29.03,29.05,27967776
2014-07-17,28.9,28.97,28.35,28.61,60475080
2014-07-18,29.57,29.76,29.02,29.67,80347776
2014-07-21,29.51,29.64,29.18,29.39,41319812
2014-07-22,29.46,29.9,29.45,29.66,33988800
2014-07-23,29.58,29.81,29.54,29.72,24664452
2014-07-24,29.74,29.89,29.51,29.59,20723562
2014-07-25,29.44,29.51,29.27,29.37,18705696
2014-07-28,29.32,29.54,29.16,29.45,19737260
2014-07-29,29.36,29.4,29.1,29.2,27006884
2014-07-30,29.25,29.39,29.12,29.29,20334316
