Date,Open,High,Low,Close,Volume
2002-05-24,1.21,1.22,1.2,1.21,11104811
2002-05-28,1.21,1.23,1.16,1.16,6609407
2002-05-29,1.16,1.16,1.09,1.1,6757807
2002-05-30,1.11,1.11,1.07,1.07,10154210
2002-05-31,1.08,1.08,1.07,1.08,8464408
2002-06-03,1.08,1.15,1.08,1.13,3151403
2002-06-04,1.14,1.14,1.11,1.12,3105203
2002-06-05,1.11,1.16,1.11,1.15,1531602
2002-06-06,1.15,1.23,1.15,1.18,2305802
2002-06-07,1.18,1.18,1.1,1.12,1369201
2002-06-10,1.13,1.17,1.13,1.16,484400
2002-06-11,1.16,1.19,1.13,1.15,1003801
2002-06-12,1.15,1.18,1.09,1.09,1799002
2002-06-13,1.1,1.12,1.08,1.08,2567603
2002-06-14,1.08,1.09,0.98,0.99,4783805
2002-06-17,1.01,1.06,0.92,0.92,4855205
2002-06-18,0.94,0.94,0.84,0.91,10808011
2002-06-19,0.91,1.0,0.89,0.95,5482405
2002-06-20,0.97,1.04,0.95,0.96,6111006
2002-06-21,0.98,0.99,0.95,0.98,2346402
2002-06-24,0.98,1.01,0.96,0.98,2567603
2002-06-25,0.99,1.01,0.95,0.96,3941004
2002-06-26,0.96,1.0,0.92,0.99,2924603
2002-06-27,1.01,1.02,0.94,0.94,3817804
2002-06-28,0.96,1.01,0.96,1.0,10045010
2002-07-01,1.0,1.05,0.99,1.03,4585005
2002-07-02,1.05,1.2,1.04,1.17,9020209
2002-07-03,1.18,1.21,1.12,1.21,4957405
2002-07-05,1.21,1.3,1.21,1.28,2003402
2002-07-08,1.25,1.25,1.17,1.18,1953002
2002-07-09,1.17,1.2,1.11,1.16,2935803
2002-07-10,1.16,1.18,1.13,1.16,1554002
2002-07-11,1.15,1.28,1.13,1.27,2529803
2002-07-12,1.28,1.28,1.21,1.21,2837803
2002-07-15,1.24,1.25,1.08,1.14,4239204
2002-07-16,1.15,1.16,1.1,1.13,1941802
2002-07-17,1.14,1.16,1.08,1.09,1264201
2002-07-18,1.12,1.17,1.11,1.15,2899403
2002-07-19,1.15,1.16,1.12,1.16,1792002
2002-07-22,1.14,1.18,1.12,1.17,1994022
2002-07-23,1.18,1.21,1.13,1.15,1577802
2002-07-24,1.15,1.16,1.07,1.11,3358785
2002-07-25,1.12,1.13,1.03,1.04,4756967
2002-07-26,1.05,1.06,0.85,0.87,7047635
2002-07-29,0.9,0.92,0.85,0.88,3262283
2002-07-30,0.89,0.94,0.89,0.91,3777204
2002-07-31,0.93,0.96,0.91,0.95,3333403
2002-08-01,0.95,0.96,0.88,0.89,4529005
2002-08-02,0.89,0.89,0.71,0.78,6656825
2002-08-05,0.78,0.81,0.76,0.77,3808004
2002-08-06,0.8,0.8,0.74,0.76,3217203
2002-08-07,0.76,0.79,0.74,0.79,2758003
2002-08-08,0.8,0.8,0.75,0.8,2283402
2002-08-09,0.8,0.82,0.78,0.79,1502202
2002-08-12,0.8,0.81,0.75,0.76,2130802
2002-08-13,0.77,0.8,0.75,0.77,1677202
2002-08-14,0.78,0.83,0.77,0.83,4048286
2002-08-15,0.84,0.91,0.83,0.88,3263403
2002-08-16,0.89,0.92,0.86,0.91,1828402
2002-08-19,0.92,0.98,0.92,0.98,2074802
2002-08-20,0.98,0.99,0.92,0.95,2541493
2002-08-21,0.95,0.97,0.92,0.97,2779703
2002-08-22,0.97,1.0,0.93,0.98,2964601
2002-08-23,0.99,1.0,0.97,0.99,2406602
2002-08-26,1.0,1.0,0.94,0.97,2644603
2002-08-27,0.97,0.97,0.86,0.87,4984005
2002-08-28,0.86,0.89,0.82,0.86,2275002
2002-08-29,0.83,0.92,0.82,0.9,2395402
2002-08-30,0.91,0.96,0.89,0.94,2123802
2002-09-03,0.94,0.96,0.91,0.93,1597682
2002-09-04,0.93,0.95,0.91,0.93,373800
2002-09-05,0.92,0.94,0.91,0.92,285600
2002-09-06,0.93,0.94,0.91,0.91,763001
2002-09-09,0.92,0.92,0.89,0.9,1420749
2002-09-10,0.9,0.95,0.89,0.94,4747405
2002-09-11,0.94,0.98,0.94,0.96,1630862
2002-09-12,0.96,0.97,0.91,0.93,1943202
2002-09-13,0.92,0.93,0.86,0.88,2490602
2002-09-16,0.89,0.89,0.85,0.86,3512604
2002-09-17,0.86,0.86,0.82,0.83,2865243
2002-09-18,0.84,0.84,0.78,0.79,1521802
2002-09-19,0.78,0.79,0.72,0.72,4978405
2002-09-20,0.75,0.77,0.7,0.71,3484603
2002-09-23,0.71,0.73,0.71,0.71,4842017
2002-09-24,0.71,0.72,0.69,0.72,3748070
2002-09-25,0.72,0.75,0.71,0.73,1458101
2002-09-26,0.75,0.78,0.73,0.78,4165690
2002-09-27,0.78,0.78,0.71,0.72,5110467
2002-09-30,0.71,0.72,0.69,0.69,4839105
2002-10-01,0.71,0.71,0.66,0.68,3850914
2002-10-02,0.69,0.69,0.56,0.58,9315889
2002-10-03,0.57,0.57,0.49,0.52,9838832
2002-10-04,0.52,0.53,0.45,0.47,8433622
2002-10-07,0.45,0.46,0.38,0.41,15736366
2002-10-08,0.41,0.43,0.39,0.4,4533821
2002-10-09,0.41,0.41,0.35,0.37,5982906
2002-10-10,0.38,0.52,0.35,0.51,13583472
2002-10-11,0.51,0.53,0.45,0.47,13283731
2002-10-14,0.46,0.53,0.46,0.53,5273105
2002-10-15,0.54,0.59,0.54,0.55,4130480
2002-10-16,0.53,0.53,0.44,0.46,5806352
2002-10-17,0.47,0.59,0.47,0.55,7495369
2002-10-18,0.59,0.74,0.59,0.68,24925400
2002-10-21,0.64,0.66,0.61,0.64,9688626
2002-10-22,0.64,0.64,0.62,0.63,4266168
2002-10-23,0.62,0.62,0.59,0.59,3544118
2002-10-24,0.61,0.61,0.55,0.58,2434000
2002-10-25,0.58,0.68,0.57,0.64,6448910
2002-10-28,0.66,0.71,0.65,0.69,5652184
2002-10-29,0.67,0.68,0.63,0.66,2006524
2002-10-30,0.66,0.67,0.64,0.64,1423801
2002-10-31,0.64,0.64,0.62,0.64,1659072
2002-11-01,0.63,0.64,0.61,0.64,2130746
2002-11-04,0.64,0.7,0.64,0.67,3590724
2002-11-05,0.67,0.68,0.65,0.65,1046501
2002-11-06,0.66,0.66,0.61,0.63,7033579
2002-11-07,0.63,0.64,0.59,0.59,2586503
2002-11-08,0.6,0.61,0.55,0.61,5156191
2002-11-11,0.61,0.61,0.59,0.6,371000
2002-11-12,0.6,0.61,0.57,0.58,2191002
2002-11-13,0.58,0.64,0.56,0.64,3133553
2002-11-14,0.64,0.64,0.62,0.62,933101
2002-11-15,0.64,0.65,0.59,0.65,2045402
2002-11-18,0.65,0.78,0.62,0.78,10072450
2002-11-19,0.72,0.72,0.62,0.66,28198156
2002-11-20,0.67,0.73,0.66,0.72,10089530
2002-11-21,0.73,0.79,0.72,0.79,10519513
2002-11-22,0.76,0.8,0.75,0.79,4495264
2002-11-25,0.79,0.8,0.75,0.79,4774327
2002-11-26,0.77,0.79,0.75,0.75,1780634
2002-11-27,0.76,0.77,0.74,0.75,1069601
2002-11-29,0.75,0.79,0.74,0.77,932793
2002-12-02,0.74,0.8,0.72,0.76,2011172
2002-12-03,0.75,0.79,0.74,0.77,1166327
2002-12-04,0.74,0.75,0.7,0.71,2491442
2002-12-05,0.86,0.86,0.77,0.79,12644855
